year,voted_turnout_self,voted_turnout_self_nona
2006,89.06074336524375,71.77727135443838
2008,89.13148237387404,73.30792682926828
2010,81.61886874232465,81.57761732851986
2012,93.23886068809927,72.7514440267718
2014,79.38181818181818,62.14946619217082
2016,92.27258836711827,70.11145510835914
2018,88.07381487961344,70.47666666666666
2020,94.21815030333043,74.85245901639345
